Final number of Monte Carlo trials: 100000
  Temperature:    Energy:      abs(Magnetization):    Total fraction of accepted moves: 
      1.0000000     -1.9952527     0.99325405   0.0010833750
      1.0500000     -1.9956606     0.99865405   0.0011211750
      1.1000000     -1.9932151     0.99620010   0.0017054250
      1.1500000     -1.9913100     0.99739170   0.0022393750
      1.2000000     -1.9884477     0.99665830   0.0030339250
      1.2500000     -1.9847599     0.99594055   0.0039915000
      1.3000000     -1.9798370     0.99424725   0.0053267250
      1.3500000     -1.9744095     0.99294085   0.0068088500
      1.4000000     -1.9677605     0.99106710   0.0086498250
      1.4500000     -1.9600100     0.98900955    0.010837700
      1.5000000     -1.9514486     0.98637200    0.013326750
      1.5500000     -1.9402824     0.98323180    0.016526975
      1.6000000     -1.9279133     0.97917575    0.020160450
      1.6500000     -1.9139876     0.97364140    0.024417600
      1.7000000     -1.8974511     0.96888585    0.029342475
      1.7500000     -1.8791081     0.96162465    0.035146700
      1.8000000     -1.8592945     0.95673320    0.041336725
      1.8500000     -1.8352894     0.94793215    0.049069075
      1.9000000     -1.8096787     0.93814345    0.057516225
      1.9500000     -1.7803578     0.92637535    0.067397925
      2.0000000     -1.7446304     0.91006055    0.079340200
      2.0500000     -1.7064584     0.89191750    0.092699375
      2.1000000     -1.6640921     0.87068425     0.10771548
      2.1500000     -1.6111721     0.83868895     0.12663980
      2.2000000     -1.5519331     0.79613400     0.14862140
      2.2500000     -1.4779456     0.72929000     0.17582940
      2.3000000     -1.3954584     0.63995310     0.20731907
      2.3500000     -1.3086534     0.53712880     0.24067712
      2.4000000     -1.2302624     0.44051765     0.27193213
