Final number of Monte Carlo trials: 100000
  Temperature:    Energy:      abs(Magnetization):    Total fraction of accepted moves: 
      1.0000000     -1.9972021     0.99928650  0.00072305000
      1.0500000     -1.9958449     0.99893550   0.0010655000
      1.1000000     -1.9938703     0.99841935   0.0015624500
      1.1500000     -1.9915992     0.99782295   0.0021795250
      1.2000000     -1.9885620     0.99701875   0.0029887000
      1.2500000     -1.9849239     0.99603875   0.0039494250
      1.3000000     -1.9801432     0.99473545   0.0052510000
      1.3500000     -1.9747676     0.99326585   0.0067449250
      1.4000000     -1.9681026     0.99138435   0.0086028500
      1.4500000     -1.9601881     0.98912815    0.010811575
      1.5000000     -1.9509284     0.98642495    0.013451525
      1.5500000     -1.9402278     0.98325340    0.016565250
      1.6000000     -1.9281815     0.97961090    0.020078850
      1.6500000     -1.9141433     0.97518125    0.024323925
      1.7000000     -1.8980766     0.97002415    0.029225475
      1.7500000     -1.8797867     0.96400080    0.034825300
      1.8000000     -1.8592606     0.95675085    0.041361475
      1.8500000     -1.8354267     0.94821930    0.048968600
      1.9000000     -1.8091377     0.93815620    0.057680300
      1.9500000     -1.7794004     0.92629800    0.067623950
      2.0000000     -1.7457477     0.91185765    0.079016850
      2.0500000     -1.7057233     0.89146260    0.092861700
      2.1000000     -1.6628908     0.86936540     0.10815463
      2.1500000     -1.6092685     0.83648820     0.12733375
      2.2000000     -1.5482805     0.78972410     0.14970863
      2.2500000     -1.4751872     0.72470450     0.17691330
      2.3000000     -1.3974791     0.64745085     0.20634970
      2.3500000     -1.3070842     0.53579080     0.24142150
      2.4000000     -1.2345403     0.44843135     0.27011840
