Final number of Monte Carlo trials: 5000, and temperature: 2.40000
     Energy:      abs(Magnetization):    No of accepted moves: 
     -2.0000000      1.0000000              0
     -1.8600000     0.96000000             20
     -1.8200000     0.95000000             48
     -1.7733333     0.93166667             97
     -1.7150000     0.91125000            158
     -1.7020000     0.90800000            215
     -1.6633333     0.89083333            261
     -1.6285714     0.87785714            342
     -1.6025000     0.86500000            423
     -1.5822222     0.85666667            494
     -1.5590000     0.84200000            590
     -1.5372727     0.83000000            688
     -1.5233333     0.82500000            768
     -1.5107692     0.82038462            843
     -1.4971429     0.81285714            927
     -1.4906667     0.80666667           1014
     -1.4868750     0.80343750           1095
     -1.4741176     0.79676471           1198
     -1.4688889     0.78972222           1298
     -1.4526316     0.77763158           1398
     -1.4445000     0.77200000           1511
     -1.4366667     0.76547619           1621
     -1.4331818     0.76295455           1704
     -1.4330435     0.76217391           1791
     -1.4329167     0.76395833           1865
     -1.4336000     0.76520000           1945
     -1.4303846     0.76423077           2018
     -1.4296296     0.76425926           2097
     -1.4275000     0.76375000           2178
     -1.4244828     0.76275862           2269
     -1.4236667     0.75950000           2355
     -1.4232258     0.75532258           2428
     -1.4221875     0.75296875           2516
     -1.4193939     0.75015152           2602
     -1.4152941     0.74661765           2698
     -1.4122857     0.74457143           2785
     -1.4094444     0.74125000           2871
     -1.4067568     0.73824324           2978
     -1.4063158     0.73592105           3068
     -1.4051282     0.73307692           3141
     -1.4040000     0.72962500           3241
     -1.4041463     0.72682927           3331
     -1.4009524     0.72380952           3422
     -1.3958140     0.72139535           3542
     -1.3911364     0.71818182           3648
     -1.3844444     0.71455556           3781
     -1.3817391     0.71250000           3892
     -1.3821277     0.71180851           3980
     -1.3822917     0.71125000           4065
     -1.3795918     0.70918367           4174
     -1.3794000     0.70950000           4263
     -1.3782353     0.71000000           4355
     -1.3775000     0.70971154           4451
     -1.3760377     0.70830189           4537
     -1.3722222     0.70601852           4635
     -1.3694545     0.70245455           4738
     -1.3657143     0.69866071           4834
     -1.3628070     0.69491228           4947
     -1.3613793     0.69163793           5045
     -1.3605085     0.68949153           5155
     -1.3603333     0.68708333           5249
     -1.3611475     0.68573770           5353
     -1.3619355     0.68435484           5428
     -1.3631746     0.68293651           5519
     -1.3615625     0.68062500           5619
     -1.3598462     0.67738462           5732
